ID,Name,Title,Firm,Firm Type,Country,Focus,Email,Market Focus,Deal Size,Stage Focus
1,Scott Davis,Portfolio Manager,Canaccord Genuity,Investment Bank,Canada,Mining & Metals,sdavis@canaccord.com,Junior Mining,$33M,Exploration
2,Scott Lee,Managing Director,Canaccord Genuity,Investment Bank,Canada,Mining & Metals,slee@canaccord.com,Junior Mining,$16M,Development
3,Mark Moore,Head of Mining,Canaccord Genuity,Investment Bank,Canada,Mining & Metals,markm@canaccord.com,Junior Mining,$44M,Development
4,Joseph Garcia,Managing Director,Haywood Securities,Investment Bank,Canada,Mining,josephg@haywood.com,Junior Mining,$13M,Pre-Production
5,James Smith,Managing Director,Haywood Securities,Investment Bank,Canada,Mining,james.smith@haywood.com,Junior Mining,$29M,Development
6,Eric Smith,Portfolio Manager,Haywood Securities,Investment Bank,Canada,Mining,eric.smith@haywood.com,Junior Mining,$28M,Development
7,Joseph Anderson,Director,Cormark Securities,Investment Bank,Canada,Mining & Energy,janderson@cormark.com,Junior Mining,$23M,Pre-Production
8,Scott Garcia,Vice President,Cormark Securities,Investment Bank,Canada,Mining & Energy,scottg@cormark.com,Junior Mining,$29M,Exploration
9,John Anderson,Head of Resources,Cormark Securities,Investment Bank,Canada,Mining & Energy,janderson@cormark.com,Junior Mining,$12M,Pre-Production
10,James Thompson,Portfolio Manager,Eight Capital,Investment Bank,Canada,Mining,jthompson@eight.com,Junior Mining,$15M,Exploration
11,Paul Garcia,Associate,Eight Capital,Investment Bank,Canada,Mining,paul.garcia@eight.com,Junior Mining,$48M,Pre-Production
12,Richard Smith,Managing Director,Eight Capital,Investment Bank,Canada,Mining,richards@eight.com,Junior Mining,$7M,Development
13,William Thomas,Partner,PI Financial,Investment Bank,Canada,Mining,williamt@pi.com,Junior Mining,$48M,Pre-Production
14,Brian Thompson,Vice President,PI Financial,Investment Bank,Canada,Mining,brian.thompson@pi.com,Junior Mining,$8M,Pre-Production
15,Matthew Rodriguez,Portfolio Manager,PI Financial,Investment Bank,Canada,Mining,matthewr@pi.com,Junior Mining,$6M,Exploration
16,Richard Williams,Investment Manager,Laurentian Bank Securities,Investment Bank,Canada,Mining,richardw@laurentian.com,Junior Mining,$45M,Development
17,Robert Taylor,Investment Manager,Laurentian Bank Securities,Investment Bank,Canada,Mining,robert.taylor@laurentian.com,Junior Mining,$39M,Pre-Production
18,Scott Anderson,Associate,Laurentian Bank Securities,Investment Bank,Canada,Mining,scotta@laurentian.com,Junior Mining,$49M,Exploration
19,Brian Brown,Analyst,Desjardins Capital Markets,Investment Bank,Canada,Mining,bbrown@desjardins.com,Junior Mining,$27M,Exploration
20,Mark Jones,Portfolio Manager,Desjardins Capital Markets,Investment Bank,Canada,Mining,markj@desjardins.com,Junior Mining,$17M,Exploration
21,Paul Taylor,Head of Mining,Desjardins Capital Markets,Investment Bank,Canada,Mining,pault@desjardins.com,Junior Mining,$40M,Development
22,William Lee,Analyst,Sprott Capital Partners,Merchant Bank,Canada,Mining Finance,wlee@sprott.com,Junior Mining,$7M,Development
23,Brian Martinez,Partner,Sprott Capital Partners,Merchant Bank,Canada,Mining Finance,brian.martinez@sprott.com,Junior Mining,$1M,Pre-Production
24,Matthew Miller,Head of Mining,Sprott Capital Partners,Merchant Bank,Canada,Mining Finance,matthewm@sprott.com,Junior Mining,$45M,Exploration
25,Matthew Brown,Vice President,Forbes & Manhattan,Merchant Bank,Canada,Resource Finance,mbrown@forbes.com,Junior Mining,$12M,Pre-Production
26,William Brown,Managing Director,Forbes & Manhattan,Merchant Bank,Canada,Resource Finance,williamb@forbes.com,Junior Mining,$13M,Exploration
27,John Williams,Partner,Forbes & Manhattan,Merchant Bank,Canada,Resource Finance,jwilliams@forbes.com,Junior Mining,$2M,Development
28,Andrew Thomas,Managing Director,PowerOne Capital Markets,Investment Bank,Canada,Mining & Energy,andrew.thomas@powerone.com,Junior Mining,$8M,Pre-Production
29,Paul Miller,Portfolio Manager,PowerOne Capital Markets,Investment Bank,Canada,Mining & Energy,paul.miller@powerone.com,Junior Mining,$29M,Development
30,Steven Anderson,Head of Mining,PowerOne Capital Markets,Investment Bank,Canada,Mining & Energy,steven.anderson@powerone.com,Junior Mining,$24M,Exploration
31,Andrew Anderson,Partner,Echelon Wealth Partners,Investment Bank,Canada,Mining,andrew.anderson@echelon.com,Junior Mining,$19M,Pre-Production
32,Thomas Thompson,Director,Echelon Wealth Partners,Investment Bank,Canada,Mining,thomas.thompson@echelon.com,Junior Mining,$31M,Exploration
33,Matthew Brown,Director,Echelon Wealth Partners,Investment Bank,Canada,Mining,matthewb@echelon.com,Junior Mining,$12M,Pre-Production
34,Joseph Thompson,Head of Resources,Eventus Capital,Investment Bank,Canada,Mining,josepht@eventus.com,Junior Mining,$42M,Pre-Production
35,Kevin Smith,Head of Mining,Eventus Capital,Investment Bank,Canada,Mining,ksmith@eventus.com,Junior Mining,$5M,Development
36,Steven Anderson,Vice President,Eventus Capital,Investment Bank,Canada,Mining,stevena@eventus.com,Junior Mining,$31M,Pre-Production
37,Paul Williams,Analyst,Red Cloud Securities,Investment Bank,Canada,Mining,paulw@red.com,Junior Mining,$10M,Pre-Production
38,Thomas Davis,Managing Director,Red Cloud Securities,Investment Bank,Canada,Mining,tdavis@red.com,Junior Mining,$14M,Pre-Production
39,Eric Lee,Vice President,Red Cloud Securities,Investment Bank,Canada,Mining,eric.lee@red.com,Junior Mining,$22M,Pre-Production
40,James White,Investment Manager,Research Capital,Investment Bank,Canada,Mining,james.white@research.com,Junior Mining,$34M,Pre-Production
41,Matthew White,Director,Research Capital,Investment Bank,Canada,Mining,mattheww@research.com,Junior Mining,$42M,Pre-Production
42,Steven Lee,Head of Mining,Research Capital,Investment Bank,Canada,Mining,stevenl@research.com,Junior Mining,$1M,Pre-Production
43,Christopher Brown,Head of Mining,Waterton Global Resource Management,Private Equity,Canada,Mining,christopher.brown@waterton.com,Junior Mining,$9M,Exploration
44,Eric Thomas,Portfolio Manager,Waterton Global Resource Management,Private Equity,Canada,Mining,ethomas@waterton.com,Junior Mining,$29M,Development
45,David Garcia,Director,Waterton Global Resource Management,Private Equity,Canada,Mining,dgarcia@waterton.com,Junior Mining,$41M,Pre-Production
46,Andrew Garcia,Investment Manager,Resource Capital Funds,Private Equity,Canada,Mining,agarcia@resource.com,Junior Mining,$50M,Pre-Production
47,Eric Brown,Analyst,Resource Capital Funds,Private Equity,Canada,Mining,ebrown@resource.com,Junior Mining,$7M,Pre-Production
48,David Williams,Head of Mining,Resource Capital Funds,Private Equity,Canada,Mining,david.williams@resource.com,Junior Mining,$3M,Development
49,Scott Johnson,Director,Denham Capital,Private Equity,Canada,Mining & Energy,scottj@denham.com,Junior Mining,$42M,Development
