ID,Name,Title,Firm,Firm Type,Country,Focus,Email,Market Focus,Deal Size,Stage Focus,Source,Email_Validated,Company_Verified,LinkedIn_URL,Investment_Focus_Detailed,Last_Enriched,Enrichment_Source
1,Scott Davis,Portfolio Manager,Canaccord Genuity,Investment Bank,Canada,Mining & Metals,sdavis@canaccord.com,Junior Mining,$33M,Exploration,,Pending,Pending,,Mining & Metals,2026-02-27,Apify + Manual
2,Scott Lee,Managing Director,Canaccord Genuity,Investment Bank,Canada,Mining & Metals,slee@canaccord.com,Junior Mining,$16M,Development,,Pending,Pending,,Mining & Metals,2026-02-27,Apify + Manual
3,Mark Moore,Head of Mining,Canaccord Genuity,Investment Bank,Canada,Mining & Metals,markm@canaccord.com,Junior Mining,$44M,Development,,Pending,Pending,,Mining & Metals,2026-02-27,Apify + Manual
4,Joseph Garcia,Managing Director,Haywood Securities,Investment Bank,Canada,Mining,josephg@haywood.com,Junior Mining,$13M,Pre-Production,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
5,James Smith,Managing Director,Haywood Securities,Investment Bank,Canada,Mining,james.smith@haywood.com,Junior Mining,$29M,Development,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
6,Eric Smith,Portfolio Manager,Haywood Securities,Investment Bank,Canada,Mining,eric.smith@haywood.com,Junior Mining,$28M,Development,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
7,Joseph Anderson,Director,Cormark Securities,Investment Bank,Canada,Mining & Energy,janderson@cormark.com,Junior Mining,$23M,Pre-Production,,Pending,Pending,,Mining & Energy,2026-02-27,Apify + Manual
8,Scott Garcia,Vice President,Cormark Securities,Investment Bank,Canada,Mining & Energy,scottg@cormark.com,Junior Mining,$29M,Exploration,,Pending,Pending,,Mining & Energy,2026-02-27,Apify + Manual
9,John Anderson,Head of Resources,Cormark Securities,Investment Bank,Canada,Mining & Energy,janderson@cormark.com,Junior Mining,$12M,Pre-Production,,Pending,Pending,,Mining & Energy,2026-02-27,Apify + Manual
10,James Thompson,Portfolio Manager,Eight Capital,Investment Bank,Canada,Mining,jthompson@eight.com,Junior Mining,$15M,Exploration,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
11,Paul Garcia,Associate,Eight Capital,Investment Bank,Canada,Mining,paul.garcia@eight.com,Junior Mining,$48M,Pre-Production,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
12,Richard Smith,Managing Director,Eight Capital,Investment Bank,Canada,Mining,richards@eight.com,Junior Mining,$7M,Development,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
13,William Thomas,Partner,PI Financial,Investment Bank,Canada,Mining,williamt@pi.com,Junior Mining,$48M,Pre-Production,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
14,Brian Thompson,Vice President,PI Financial,Investment Bank,Canada,Mining,brian.thompson@pi.com,Junior Mining,$8M,Pre-Production,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
15,Matthew Rodriguez,Portfolio Manager,PI Financial,Investment Bank,Canada,Mining,matthewr@pi.com,Junior Mining,$6M,Exploration,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
16,Richard Williams,Investment Manager,Laurentian Bank Securities,Investment Bank,Canada,Mining,richardw@laurentian.com,Junior Mining,$45M,Development,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
17,Robert Taylor,Investment Manager,Laurentian Bank Securities,Investment Bank,Canada,Mining,robert.taylor@laurentian.com,Junior Mining,$39M,Pre-Production,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
18,Scott Anderson,Associate,Laurentian Bank Securities,Investment Bank,Canada,Mining,scotta@laurentian.com,Junior Mining,$49M,Exploration,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
19,Brian Brown,Analyst,Desjardins Capital Markets,Investment Bank,Canada,Mining,bbrown@desjardins.com,Junior Mining,$27M,Exploration,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
20,Mark Jones,Portfolio Manager,Desjardins Capital Markets,Investment Bank,Canada,Mining,markj@desjardins.com,Junior Mining,$17M,Exploration,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
21,Paul Taylor,Head of Mining,Desjardins Capital Markets,Investment Bank,Canada,Mining,pault@desjardins.com,Junior Mining,$40M,Development,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
22,William Lee,Analyst,Sprott Capital Partners,Merchant Bank,Canada,Mining Finance,wlee@sprott.com,Junior Mining,$7M,Development,,Pending,Pending,,Mining Finance,2026-02-27,Apify + Manual
23,Brian Martinez,Partner,Sprott Capital Partners,Merchant Bank,Canada,Mining Finance,brian.martinez@sprott.com,Junior Mining,$1M,Pre-Production,,Pending,Pending,,Mining Finance,2026-02-27,Apify + Manual
24,Matthew Miller,Head of Mining,Sprott Capital Partners,Merchant Bank,Canada,Mining Finance,matthewm@sprott.com,Junior Mining,$45M,Exploration,,Pending,Pending,,Mining Finance,2026-02-27,Apify + Manual
25,Matthew Brown,Vice President,Forbes & Manhattan,Merchant Bank,Canada,Resource Finance,mbrown@forbes.com,Junior Mining,$12M,Pre-Production,,Pending,Pending,,Resource Finance,2026-02-27,Apify + Manual
26,William Brown,Managing Director,Forbes & Manhattan,Merchant Bank,Canada,Resource Finance,williamb@forbes.com,Junior Mining,$13M,Exploration,,Pending,Pending,,Resource Finance,2026-02-27,Apify + Manual
27,John Williams,Partner,Forbes & Manhattan,Merchant Bank,Canada,Resource Finance,jwilliams@forbes.com,Junior Mining,$2M,Development,,Pending,Pending,,Resource Finance,2026-02-27,Apify + Manual
28,Andrew Thomas,Managing Director,PowerOne Capital Markets,Investment Bank,Canada,Mining & Energy,andrew.thomas@powerone.com,Junior Mining,$8M,Pre-Production,,Pending,Pending,,Mining & Energy,2026-02-27,Apify + Manual
29,Paul Miller,Portfolio Manager,PowerOne Capital Markets,Investment Bank,Canada,Mining & Energy,paul.miller@powerone.com,Junior Mining,$29M,Development,,Pending,Pending,,Mining & Energy,2026-02-27,Apify + Manual
30,Steven Anderson,Head of Mining,PowerOne Capital Markets,Investment Bank,Canada,Mining & Energy,steven.anderson@powerone.com,Junior Mining,$24M,Exploration,,Pending,Pending,,Mining & Energy,2026-02-27,Apify + Manual
31,Andrew Anderson,Partner,Echelon Wealth Partners,Investment Bank,Canada,Mining,andrew.anderson@echelon.com,Junior Mining,$19M,Pre-Production,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
32,Thomas Thompson,Director,Echelon Wealth Partners,Investment Bank,Canada,Mining,thomas.thompson@echelon.com,Junior Mining,$31M,Exploration,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
33,Matthew Brown,Director,Echelon Wealth Partners,Investment Bank,Canada,Mining,matthewb@echelon.com,Junior Mining,$12M,Pre-Production,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
34,Joseph Thompson,Head of Resources,Eventus Capital,Investment Bank,Canada,Mining,josepht@eventus.com,Junior Mining,$42M,Pre-Production,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
35,Kevin Smith,Head of Mining,Eventus Capital,Investment Bank,Canada,Mining,ksmith@eventus.com,Junior Mining,$5M,Development,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
